date,region,product_category,units_sold,unit_price,revenue,discount_applied,marketing_spend,customer_segment,returned_units
2021-01-17,West,Home & Kitchen,22,83.69,1575.13,0.1445,571.78,Consumer,2
2021-01-17,Central,Sports & Outdoors,7,66.12,335.14,0.2759,135.59,Consumer,0
2021-01-17,North,Electronics,11,302.09,3067.45,0.0769,402.13,Small Business,0
2021-01-17,West,Home & Kitchen,13,76.24,842.75,0.1497,468.41,Corporate,0
2021-01-18,South,Home & Kitchen,10,89.6,741.44,0.1725,300.45,Corporate,0
2021-01-18,West,Sports & Outdoors,8,67.65,456.72,0.1561,367.35,Corporate,0
2021-01-18,Central,Electronics,5,290.08,1403.55,0.0323,190.28,Small Business,0
2021-01-18,North,Electronics,8,310.53,2325.0,0.0641,348.87,Consumer,0
2021-01-18,East,Clothing,5,54.99,245.09,0.1086,193.33,Small Business,0
2021-01-18,West,Home & Kitchen,12,91.31,1003.57,0.0841,427.36,Consumer,0
2021-01-18,East,Clothing,6,49.58,239.35,0.1954,169.08,Consumer,0
2021-01-18,South,Sports & Outdoors,8,67.55,445.78,0.1751,182.48,Consumer,0
2021-01-18,North,Electronics,8,333.16,2091.98,0.2151,343.78,Consumer,0
2021-01-18,South,Clothing,7,43.68,247.91,0.1892,305.99,Small Business,0
2021-01-18,North,Clothing,12,46.75,504.62,0.1005,445.73,Consumer,1
2021-01-18,Central,Electronics,7,282.42,1850.02,0.0642,192.82,Small Business,0
2021-01-18,South,Clothing,9,42.76,345.16,0.1031,305.29,Corporate,0
2021-01-19,South,Clothing,8,43.36,318.68,0.0813,215.14,Consumer,0
2021-01-19,Central,Electronics,5,257.78,1133.33,0.1207,152.85,Corporate,0
2021-01-19,South,Electronics,8,336.0,2353.08,0.1246,257.61,Consumer,0
2021-01-19,North,Electronics,15,302.86,4068.17,0.1045,334.98,Consumer,1
2021-01-19,South,Home & Kitchen,9,84.24,609.11,0.1966,273.56,Consumer,0
2021-01-19,South,Sports & Outdoors,9,56.11,403.18,0.2016,213.73,Consumer,0
2021-01-19,South,Home & Kitchen,13,78.33,907.6,0.1087,308.78,Small Business,1
2021-01-19,West,Electronics,12,331.65,3449.69,0.1332,438.96,Consumer,0
2021-01-19,Central,Clothing,6,46.92,255.87,0.0911,193.0,Consumer,0
2021-01-19,West,Clothing,11,44.23,443.86,0.0877,456.75,Consumer,1
2021-01-20,North,Clothing,11,48.53,443.99,0.1683,390.61,Corporate,0
2021-01-20,East,Clothing,10,50.78,454.13,0.1057,224.63,Corporate,0
2021-01-20,South,Electronics,7,319.77,1950.76,0.1285,261.79,Corporate,0
2021-01-20,East,Home & Kitchen,9,89.74,683.2,0.1541,297.48,Small Business,0
2021-01-20,South,Sports & Outdoors,10,59.96,550.49,0.0819,194.64,Consumer,1
2021-01-20,South,Sports & Outdoors,6,62.04,320.39,0.1393,279.27,Consumer,0
2021-01-20,West,Electronics,17,328.96,4831.21,0.1361,398.81,Consumer,1
2021-01-20,East,Electronics,6,321.05,1746.19,0.0935,225.17,Small Business,0
2021-01-20,East,Home & Kitchen,10,90.93,762.63,0.1613,187.49,Corporate,0
2021-01-20,South,Clothing,10,49.11,425.15,0.1343,314.27,Consumer,0
2021-01-20,North,Sports & Outdoors,14,73.65,971.19,0.0581,384.08,Consumer,1
2021-01-20,East,Sports & Outdoors,6,66.8,324.25,0.191,218.97,Small Business,0
2021-01-20,West,Sports & Outdoors,16,72.4,1015.22,0.1236,369.55,Consumer,0
2021-01-20,South,Home & Kitchen,14,68.2,795.35,0.167,313.3,Consumer,1
2021-01-21,South,Home & Kitchen,13,86.76,1000.32,0.1131,337.55,Corporate,0
2021-01-21,North,Clothing,16,47.22,639.7,0.1533,433.1,Small Business,1
2021-01-21,West,Sports & Outdoors,16,70.55,1014.68,0.1011,363.81,Small Business,0
2021-01-21,West,Electronics,11,268.7,2565.55,0.132,414.41,Consumer,0
2021-01-21,South,Electronics,9,286.32,1893.23,0.2653,186.64,Corporate,0
2021-01-21,West,Sports & Outdoors,11,59.53,593.54,0.0936,327.94,Consumer,0
2021-01-21,West,Clothing,14,48.55,518.82,0.2367,554.29,Consumer,1
2021-01-21,Central,Electronics,8,300.03,2146.29,0.1058,163.61,Consumer,0
2021-01-21,North,Electronics,13,321.46,3147.19,0.2469,297.36,Consumer,1
2021-01-21,West,Clothing,14,53.28,582.86,0.2186,516.65,Corporate,0
2021-01-21,North,Electronics,10,280.05,2375.94,0.1516,345.7,Small Business,0
2021-01-21,East,Clothing,11,43.83,436.76,0.0941,247.93,Consumer,0
2021-01-21,South,Electronics,12,329.39,3269.66,0.1728,294.88,Consumer,1
2021-01-22,Central,Electronics,5,270.76,1219.5,0.0992,169.45,Consumer,0
2021-01-22,East,Clothing,7,48.94,254.61,0.2568,230.01,Corporate,0
2021-01-22,North,Sports & Outdoors,16,69.12,995.11,0.1002,340.2,Small Business,0
2021-01-22,West,Sports & Outdoors,17,65.3,995.98,0.1028,368.91,Consumer,1
2021-01-22,South,Clothing,10,51.1,419.84,0.1784,324.76,Small Business,0
2021-01-22,South,Sports & Outdoors,12,59.28,628.91,0.1159,265.7,Consumer,0
2021-01-22,Central,Electronics,6,290.8,1576.43,0.0965,214.46,Consumer,0
2021-01-22,South,Clothing,11,52.68,504.67,0.1291,268.61,Consumer,0
2021-01-22,Central,Clothing,6,52.1,278.9,0.1078,187.4,Corporate,0
2021-01-22,West,Clothing,19,53.47,763.78,0.2482,555.09,Consumer,1
2021-01-22,North,Clothing,14,55.95,734.42,0.0624,354.72,Small Business,1
2021-01-22,South,Sports & Outdoors,7,68.69,409.23,0.1489,175.69,Consumer,0
2021-01-22,North,Electronics,14,327.42,3783.08,0.1747,305.52,Consumer,1
2021-01-23,North,Electronics,13,320.07,3686.15,0.1141,416.98,Consumer,0
2021-01-23,North,Sports & Outdoors,15,69.71,942.55,0.0986,359.55,Consumer,1
2021-01-23,North,Clothing,21,48.58,820.84,0.1954,352.63,Consumer,1
2021-01-23,West,Sports & Outdoors,18,66.62,930.55,0.224,440.51,Consumer,0
2021-01-23,East,Electronics,12,295.38,3115.67,0.121,170.31,Consumer,0
2021-01-23,Central,Electronics,9,272.56,2279.12,0.0709,214.12,Consumer,0
2021-01-23,South,Home & Kitchen,12,89.75,865.37,0.1965,296.23,Consumer,1
2021-01-23,North,Sports & Outdoors,16,65.9,874.1,0.171,383.93,Corporate,0
2021-01-24,South,Sports & Outdoors,9,63.52,515.71,0.0979,208.51,Small Business,0
2021-01-24,Central,Electronics,10,290.9,2352.22,0.1914,140.17,Consumer,0
2021-01-24,South,Home & Kitchen,14,82.63,997.76,0.1375,342.54,Corporate,0
2021-01-24,East,Electronics,10,263.22,2122.61,0.1936,183.58,Consumer,0
2021-01-24,East,Home & Kitchen,8,87.36,656.67,0.0604,299.55,Small Business,0
2021-01-24,North,Electronics,10,293.72,2718.08,0.0746,374.79,Small Business,0
2021-01-24,North,Home & Kitchen,20,68.15,1247.01,0.0851,425.5,Consumer,1
2021-01-24,South,Clothing,15,42.66,561.45,0.1226,221.79,Small Business,1
2021-01-24,North,Clothing,19,52.12,898.88,0.0923,422.05,Consumer,0
2021-01-24,South,Electronics,10,334.01,2892.86,0.1339,224.6,Small Business,0
2021-01-24,South,Home & Kitchen,15,89.73,1042.84,0.2252,250.27,Corporate,0
2021-01-24,West,Sports & Outdoors,18,71.01,1108.82,0.1325,390.3,Consumer,0
2021-01-24,North,Electronics,12,273.47,2760.52,0.1588,431.99,Consumer,1
2021-01-25,West,Electronics,15,328.91,4015.99,0.186,409.77,Consumer,0
2021-01-25,East,Electronics,8,332.15,2217.7,0.1654,232.54,Corporate,0
2021-01-25,Central,Sports & Outdoors,4,61.82,216.64,0.1239,194.65,Corporate,0
2021-01-25,East,Clothing,8,48.67,356.65,0.084,233.48,Small Business,0
2021-01-25,North,Clothing,10,43.36,348.18,0.197,396.81,Corporate,0
2021-01-25,West,Clothing,13,47.67,554.39,0.1054,480.29,Consumer,1
2021-01-25,North,Electronics,12,271.12,2753.71,0.1536,262.85,Consumer,1
2021-01-25,North,Sports & Outdoors,9,73.06,498.61,0.2417,396.68,Corporate,0
2021-01-25,North,Electronics,12,329.37,3147.72,0.2036,307.1,Corporate,0
2021-01-25,East,Sports & Outdoors,5,70.15,268.6,0.2342,161.9,Small Business,0
2021-01-25,East,Sports & Outdoors,8,63.42,461.85,0.0897,203.8,Consumer,0
2021-01-25,South,Sports & Outdoors,10,68.24,631.7,0.0743,250.87,Consumer,0
2021-01-25,West,Home & Kitchen,16,77.53,1005.78,0.1892,409.49,Consumer,1
2021-01-25,North,Electronics,13,286.39,3452.03,0.0728,343.32,Consumer,0
2021-01-26,West,Electronics,11,293.23,2431.73,0.2461,461.19,Consumer,0
2021-01-26,East,Clothing,9,46.46,353.79,0.1539,189.87,Consumer,0
2021-01-26,West,Clothing,13,50.73,605.87,0.0813,456.46,Small Business,1
2021-01-26,West,Home & Kitchen,17,88.45,1316.9,0.1242,531.07,Consumer,1
2021-01-26,East,Home & Kitchen,8,69.64,501.85,0.0992,265.05,Consumer,0
2021-01-26,North,Clothing,11,51.97,463.8,0.1887,378.95,Corporate,0
2021-01-26,East,Sports & Outdoors,7,74.38,441.78,0.1515,238.15,Corporate,0
2021-01-26,East,Home & Kitchen,6,77.3,407.22,0.122,285.28,Consumer,0
2021-01-26,West,Sports & Outdoors,13,67.34,654.9,0.2519,438.75,Consumer,1
2021-01-27,Central,Home & Kitchen,8,90.57,631.6,0.1283,189.6,Corporate,0
2021-01-27,West,Home & Kitchen,19,89.26,1369.47,0.1925,599.34,Consumer,0
2021-01-27,Central,Clothing,5,51.4,222.66,0.1336,198.4,Corporate,0
2021-01-27,North,Home & Kitchen,17,91.05,1407.92,0.0904,414.52,Corporate,0
2021-01-27,West,Sports & Outdoors,10,56.07,525.21,0.0633,426.15,Consumer,0
2021-01-27,East,Sports & Outdoors,8,68.45,415.19,0.2418,173.09,Consumer,0
2021-01-27,Central,Clothing,8,51.99,369.09,0.1126,183.86,Consumer,0
2021-01-27,West,Home & Kitchen,14,68.37,848.54,0.1135,391.83,Consumer,1
2021-01-27,Central,Home & Kitchen,7,85.95,509.9,0.1525,186.04,Small Business,0
2021-01-27,South,Sports & Outdoors,9,69.6,514.52,0.1786,263.07,Consumer,0
2021-01-27,West,Electronics,10,278.35,2296.11,0.1751,323.19,Consumer,1
2021-01-27,North,Home & Kitchen,17,82.08,1197.92,0.1415,345.78,Corporate,0
2021-01-28,East,Electronics,8,330.43,2124.8,0.1962,205.17,Consumer,0
2021-01-28,Central,Sports & Outdoors,7,60.17,322.21,0.235,202.19,Consumer,0
2021-01-28,North,Electronics,15,300.9,4162.8,0.0777,432.29,Small Business,1
2021-01-28,West,Sports & Outdoors,16,68.19,903.82,0.1716,295.59,Consumer,1
2021-01-28,West,Home & Kitchen,16,72.44,1041.98,0.101,428.57,Consumer,1
2021-01-28,South,Electronics,8,342.77,2366.48,0.137,279.37,Consumer,0
2021-01-28,East,Electronics,10,294.57,2276.44,0.2272,181.91,Corporate,0
2021-01-28,Central,Home & Kitchen,9,77.98,570.44,0.1872,157.48,Corporate,0
2021-01-28,South,Sports & Outdoors,9,56.85,478.5,0.0648,218.24,Consumer,0
